user_id,event_name,event_timestamp,plan_selected,order_value_usd,platform
U100002,landing_page_view,2025-06-02 13:30:00,,,
U100002,signup_started,2025-06-03 08:30:00,,,Web
U100002,signup_completed,2025-06-03 13:27:00,,,
U100002,workspace_created,2025-06-05 02:27:00,,,web
U100002,team_invite_sent,2025-06-13 02:27:00,,,ios
,landing_page_view,2025-05-31 04:07:00,,,ios
U100003,signup_started,2025-06-01 12:07:00,,,
U100003,signup_completed,01-06-2025 13:09,,,Web
U100005,landing_page_view,2025-04-02 23:02:00,,,android
U100005,signup_started,2025-04-04 06:02:00,,,web
U100005,signup_completed,2025-04-04 08:54:00,,,Web
U100006,landing_page_view,2025-05-28 21:51:00,,,
U100006,signup_started,2025-05-29 03:51:00,,,Web
U100006,signup_completed,2025-05-29 07:13:00,,,web
U100007,landing_page_view,2025-04-02 00:29:00,,,Web
U100007,signup_started,2025-04-03 09:29:00,,,
U100007,signup_completed,2025-04-03 13:17:00,,,android
U100007,workspace_created,2025-04-07 15:17:00,,,Web
U100009,landing_page_view,2025-06-06 04:37:00,,,ios
U100009,signup_started,2025-06-06 08:37:00,,,Web
U100009,signup_completed,06-06-2025 13:21,,,android
U100009,workspace_created,2025-06-06 17:21:00,,,Web
U100009,team_invite_sent,2025-06-09 17:21:00,,,ios
U100009,trial_started,2025-06-11 17:21:00,Free,,Web
U100009,subscription_started,2025-06-29 17:21:00,,178.63,ios
U100010,landing_page_view,2025-02-28 02:39:00,,,web
U100010,signup_started,2025-03-01 23:39:00,,,
U100010,signup_completed,2025-03-02 04:16:00,,,
U100011,landing_page_view,2025-06-15 01:59:00,,,web
U100011,signup_started,2025-06-15 16:59:00,,,android
U100012,landing_page_view,2025-03-22 13:39:00,,,android
U100012,signup_started,2025-03-24 01:39:00,,,
U100012,signup_completed,2025-03-24 01:45:00,,,android
U100012,workspace_created,2025-04-06 01:45:00,,,Web
U100012,team_invite_sent,2025-04-07 01:45:00,,,web
U100012,trial_started,2025-04-18 01:45:00,Pro,,android
U100013,landing_page_view,2025-02-03 05:07:00,,,android
U100013,signup_started,2025-02-04 04:07:00,,,ios
U100013,signup_completed,2025-02-04 06:03:00,,,
U100013,workspace_created,2025-02-18 05:03:00,,,
U100013,team_invite_sent,2025-02-27 05:03:00,,,
U100014,landing_page_view,2025-05-21 04:55:00,,,Web
U100014,signup_started,2025-05-21 10:55:00,,,android
U100014,signup_completed,2025-05-21 13:12:00,,,Web
U100016,landing_page_view,2025-02-26 18:17:00,,,Web
U100016,signup_started,2025-02-26 19:17:00,,,web
U100016,signup_completed,2025-02-26 20:31:00,,,android
